What will the contents of budgie budget.txt look like after this code is run?",<pre>Seed: $10/month Cage: $50</pre>,<pre>Seed: $10/monthCage: $50</pre>,<pre>Cage: $50</pre>,<pre>'Seed: $10/month''Cage: $50'</pre>,"<pre>

'Seed: $10/month'

'Cage: $50'

</pre>","<pre>

Seed: $10/month

Cage: $50

</pre>",,,,,,,,,

"Consider this code:

<pre>

numbers = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]

</pre>



Using <code>numbers</code> and indexing with <b>non-negative indices</b>, write an expression that produces <code>7</code>.  Do not use any parentheses.",values[0][1],values[2][0],values[1][0],,,,,,,,,,,,

"According to the <b>Description</b> of function <code>get_oldest</code>, what value should be returned by the <b>Example</b> function call?



<pre>

def get_oldest(age1, age2):

    """""" (int, int) -> int



    Return the oldest of the two ages, age1 and age2.



    >>> get_oldest(27, 22)

    ???

    """"""

</pre>",0,22,27,49,,,,,,,,,,,

"Consider this code:

<pre>

def mystery(s):

    ''' (str) -> bool

    '''

    matches = 0

    for i in range(len(s) // 2):

        if s[i] == s[len(s) - 1 - i]:     # &lt;--- How many times is this line reached?

            matches = matches + 1



    return matches == (len(s) // 2)

</pre>



Trace the function call <code>mystery('civil')</code> using the Python Visualizer.  How many times is the line marked above reached?",1,2,3,4,,,,,,,,,,,

"Consider this code:

<pre>

def num_same(s1, s2):

    """""" (str, str) -> list of int



    Return a two-item list with the first item representing the number of characters

    that are the same at corresponding positions of s1 and s2, and the second item

    representing the number of characters that are different at those positions.



    >>> num_same('hello', 'jello')

    [4, 1]

    >>> num_same('him', 'this')

    [0, 3]

    """"""



    same_count = 0

    different_count = 0



    for i in range(len(s1)):

        if s1[i] == s2[i]:

            same_count = same_count + 1

        else:

            different_count = different_count + 1



    return [same_count, different_count]

</pre>

In which situation will the code above result in an error?",When <code>s1</code> and <code>s2</code> refer to empty strings.,When <code>s2</code> is longer than <code>s1</code>.,"When <code>s1</code> and <code>s2</code> have the same length, but <code>s1</code> contains letters and <code>s2</code> contains numbers.",When <code>s1</code> is longer than <code>s2</code>.,,,,,,,,,,,

"Consider this code:

<pre>

breakfast = [['French', 'toast'], ['blueberry', 'pancakes'], ['scrambled', 'eggs']]

</pre>



Using <code>breakfast</code> and indexing with <b>only negative indices</b>, write an expression that produces <code>'blueberry'</code>. Do not use any parentheses.",breakfast[-2][-2],breakfast[-2][-1],breakfast[-1][-1],,,,,,,,,,,,

"Given the following function:



<pre>def read_file(file_name):

    """""" (str) -> NoneType

  

    Read and print the lines from a file named file_name, which has exactly 5 lines in it.

    """"""

  

    f = open(file_name, ""r"")

  

    # insert code here

  

    print(""Reading complete!"")

  

    f.close()

</pre>

Select the code fragment(s) that will successfully read and print the contents of the file when you replace the line <code># insert code here</code> with the code fragment(s).","<pre>text = []

text = f.readlines()

for line in text:

    print(line)</pre>","<pre>for line in f:

    print(line)</pre>","<pre>for index in range(5):

    line = f.readline()

    print(line)</pre>",<pre>print(f)</pre>,,,,,,,,,,,

"Consider this code:



<pre>def calculate_grade(is_elective, grade):

    """""" (bool, int) -> object



    Precondition: 0 <= grade <= 100



    is_elective refers to True iff this course is being taken as an elective.

    

    Return the grade if the course is not being taken as an elective, and

    either 'Pass' or 'Fail' (depending on whether grade is at least 50) if the

    course is an elective.

    """"""



    if is_elective and grade >= 50:

        return 'Pass'

    elif is_elective and grade < 50:

        return 'Fail'

    elif not is_elective:

        return grade</pre>



Select all of the code fragment(s) that are equivalent to the one above.



(Note: type <code>object</code> includes all Python types.)","<pre>

    if is_elective:

        if grade >= 50:

            return 'Pass'

        else:

            return 'Fail'

    else:

        return grade

</pre>","<pre>

    if not is_elective:

        return grade

    else:

        if grade >= 50:

            return 'Pass'

        else:

            return 'Fail'

</pre>","<pre>

    if is_elective or grade >= 50:

        return 'Pass'

    if is_elective or grade < 50:

        return 'Fail'

    if not is_elective:

        return grade

</pre>","<pre>

    if is_elective and grade >= 50:

        return 'Pass'

    if is_elective and grade < 50:

        return 'Fail'

    if not is_elective:

        return grade

</pre>",,,,,,,,,,,

"Consider this code:

<pre>&gt;&gt;&gt; d = {'a': 1, 'b': 2}

&gt;&gt;&gt; # CODE MISSING HERE

&gt;&gt;&gt; d

{'a': 1, 'b': 3}

</pre>

Write the missing assignment statement that modifies the dictionary as shown. (Just write the assignment statement; don't write the <code>&gt;&gt;&gt;</code> part.)",<code>'b' = 3</code>,<code>d = {'b': 3}</code>,<code>d['b'] = 3</code>,,,,,,,,,,,,

"Consider this code:

<pre>

vehicle = 'car'

</pre>



What does the expression <code>vehicle[-1] + vehicle[1] + vehicle[:1] + 'e' + vehicle</code> produce?",'aaarecar','racecar','rrrecar',,,,,,,,,,,,

Variables <code>grade1</code> and <code>grade2</code> represent grades in two courses. Variable <code>num_passed</code> currently refers to <code>0</code>.  Select the code fragment(s) that make <code>num_passed</code> refer to the number of courses passed (with a 50 or higher). Watch your <code>if</code>s and <code>elif</code>s!,"<small><pre>if grade1 >= 50:

    num_passed = num_passed + 1

elif grade2 >= 50:

    num_passed = num_passed + 1</pre></small>","<small><pre>if grade1 >= 50 and grade2 >= 50:

    num_passed = 2

if grade1 >= 50:

    num_passed = 1

if grade2 >= 50:

    num_passed = 1</pre></small>","<small><pre>if grade1 >= 50 and grade2 >= 50:

    num_passed = 2

elif grade1 >= 50:

    num_passed = 1

elif grade2 >= 50:

    num_passed = 1</pre></small>","<small><pre>if grade1 >= 50:

    num_passed = num_passed + 1

if grade2 >= 50:

    num_passed = num_passed + 1</pre></small>",,,,,,,,,,,

"<code>L</code> refers to a list. If there are <code>k</code> items in the list, roughly how many iterations are there?



<pre>

sum = 0

i = 0

while i < len(L):

    sum = sum + L[i]

    i = i + 1

</pre>",1,2,4,k/2,k,k<sup>2,,,,,,,,,

"<p>Including the frame for the main program, how many stack frames exist at the current point of execution (indicated by the Python Visualizer with blue highlighting)?  Remember that the red arrow indicates the line that is <em>about</em> to be executed.</p>

<p>To answer this, you should use the Python Visualizer for this code: <a target=""_blank"" href=""http://pythontutor.com/visualize.html#code=def+greeting(name)%3A%0A++++return+'Hi,+'+%2B+name%0A%0Adef+exclaim(statement)%3A%0A++++return+statement+%2B+'!'%0A%0Adef+enthusiastic_greeting(name)%3A%0A++++greeting_message+%3D+exclaim(greeting(name))%0A++++print(greeting_message)%0A%0Aenthusiastic_greeting('Orion')%0A&mode=display&cumulative=false&heapPrimitives=true&drawParentPointers=true&textReferences=true&showOnlyOutputs=false&py=3&curInstr=0"">greeting.py</a>

</p>

<img src=""https://d396qusza40orc.cloudfront.net/programming1%2Fimages%2Fquiz%2Fweek3%2Fstack_1.png""/>

<br>

<p>(Note: we omitted docstrings in this code to save space. Don't do this in your own code!)</p>",1,2,3,4,,,,,,,,,,,

"Consider this code:

<pre>

def sum(number1, number2):

    return number1 + number2



result = sum(1, 3)

new_result = result + 1

</pre>



What is the outcome of executing the code above?",<code>new_result</code> refers to the value <code>5</code>,<code>TypeError</code>,,,,,,,,,,,,,

"Consider this function call:

<pre>

print(""this \n is the newline character in Python"")

</pre>

What is printed by this function call?","<pre>""this \n is the newline character in Python""</pre>",<pre>this \n is the newline character in Python</pre>,"<pre>""this

 is the newline character in Python""</pre>","<pre>this 

 is the newline character in Python</pre>",,,,,,,,,,,

"<p>Here is the help for function <code>ord</code>:</p>



<pre>

Help on built-in function ord in module builtins:



ord(...)

    ord(c) -> integer

    

    Return the integer ordinal of a one-character string.

    A valid surrogate pair is also accepted.

</pre>



<p>Select the number of arguments that function <code>ord</code> can take.</p>",0,1,2,3,,,,,,,,,,,

Which of the following is an appropriate definition for the function <code>double</code> that returns two times the number it is passed?,"<pre>def double(x):

    return 2 * x</pre>",<pre>double(x) = return 2 * x</pre>,<pre>double(x) = 2 * x</pre>,"<pre>def double(x):

    2 * x</pre>",,,,,,,,,,,

"Consider this code:

<pre>

round(45.342, 2)

</pre>

What value does the expression above produce?",45.342,45.34,45.3,45,,,,,,,,,,,

"If the length of list <code>inner</code> is 5 and the length of list <code>outer</code> is 7, how many times will this code print <code>spam!</code>? (That is, how many times in total will the body of the inner loop be executed?)



<pre>for i in outer:

    for j in inner:

        print(""spam!"", end="" "")</pre>",7,5,12,35,,,,,,,,,,,

"Consider this code:

<pre>

Class Foo:

    def __init__(self, a, b):

        self.instance_A = a

        self.instance_B = b



    def multiply(self):

        return self.instance_A * self.instance_B

</pre>



Now, assume this code has been executed:

<pre>

>>> foo1 = Foo(1, 6)

>>> foo2 = Foo(5, 5)

</pre>



When the following code is executed, what will be printed?

<pre>

print(foo1.instance_A)

print(foo2.instance_A)

print(foo2.multiply() * foo1.multiply())

</pre>","<pre>

1

5

150

</pre>","<pre>

6

5

30

</pre>","<pre>

5

5

25

</pre>



","<pre>

1

1

1

</pre>","<pre>

6

6

36

</pre>",,,,,,,,,,

"What is wrong with the following code:



<pre>def write_to_file(file_name, info):

    """""" (str, list of str) -> NoneType

    

    Write the contents of info to the file named file_name.

    """"""

  

    output_file = open(file_name, ""r"")

    

    for item in info:

        output_file.write(item)	

	

    output_file.close()</pre>",There are not enough comments.,One cannot write the contents of a list.,"The file has been opened for reading, not writing.",There is no method <code>write()</code>.,The <code>open</code> function takes at most one parameter.,,,,,,,,,,

"<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/visualizing_function_calls_1.png"" />

<br>

The red arrow indicates the line that is about to be executed.  What value does <code>hours_asleep</code> refer to at the current stage of execution?",5,0,300,It's a trick question: <code>hours_asleep</code> has not yet been created.,,,,,,,,,,,

"Consider this code:

<pre>if temperature > 28:

    if money > 0.99:

        print(""I'm buying a lemonade."")

    else:

        print(""Where's the water fountain?"")

</pre>

Select the code fragment(s) that are equivalent to the code fragment above.

<br>","<small><pre>if temperature > 28 and money > 0.99:

    print(""I'm buying a lemonade"")

elif temperature > 28:

    print(""Where's the water fountain?"")</pre></small>","<small><pre>if temperature > 28 and money > 0.99:

    print(""I'm buying a lemonade"")

else:

    print(""Where's the water fountain?"")</pre></small>","<small><pre>if temperature > 28 and money > 0.99:

    print(""I'm buying a lemonade"")

elif temperature > 28 and money &lt;= 0.99:

    print(""Where's the water fountain?"")</pre></small>",,,,,,,,,,,,

"<p>The <code>math</code> module has a function that returns the factorial of a number. Assuming that the <code>math</code> module has already been imported, write an expression that calls the factorial function from <code>math</code> to find the factorial of <code>8</code>.</p>



<p><em>Hint:</em> In IDLE, <code>import math</code> and then use <code>dir</code> and <code>help</code> on the <code>math</code> module to determine the name of the function that you need to use.",math.fact(8),math.factorial(8),factorial(8),fact(8),,,,,,,,,,,

"A program in <code>assignment.py</code> uses functions defined in <code>question.py</code>.  In order to call functions from the <code>question</code> module, what statement must appear in the <code>assignment</code> module?",import question module,import question,import from question,,,,,,,,,,,,

"A program in <code>book.py</code> uses functions defined in <code>chapter.py</code>.  In order to call functions from the <code>chapter</code> module, what statement must appear in the <code>book</code> module?",import chapter,import module chapter,import from chapter,,,,,,,,,,,,

"<p>Including the frame for the main program, how many stack frames exist at the current point of execution (indicated by the Python Visualizer with blue highlighting)?  Remember that the red arrow indicates the line that is <em>about</em> to be executed.</p>

<p>To answer this, you should use the Python Visualizer for this code: <a target=""_blank"" href=""http://pythontutor.com/visualize.html#code=def+greeting(name)%3A%0A++++return+'Hi,+'+%2B+name%0A%0Adef+exclaim(statement)%3A%0A++++return+statement+%2B+'!'%0A%0Adef+enthusiastic_greeting(name)%3A%0A++++greeting_message+%3D+exclaim(greeting(name))%0A++++print(greeting_message)%0A%0Aenthusiastic_greeting('Orion')%0A&mode=display&cumulative=false&heapPrimitives=true&drawParentPointers=true&textReferences=true&showOnlyOutputs=false&py=3&curInstr=0"">greeting.py</a>

</p>

<img src=""https://d396qusza40orc.cloudfront.net/programming1%2Fimages%2Fquiz%2Fweek3%2Fstack_3.png""/>

<br>

<p>(Note: we omitted docstrings in this code to save space. Don't do this in your own code!)</p>",1,2,3,4,,,,,,,,,,,

"Some of the words below are names of Python types.

<br><br>

Select the word(s) that are Python types.",expression,real,int,float,,,,,,,,,,,
